 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
46,NTO-LC-800-4A-900-10H0003.tiff,0.010,14.083,0.997,14.083,0.997,0.354,0.967,0.131,100,14.046,1.049,53.130,0.105,1.090,0.918,0.911
47,NTO-LC-800-4A-900-10H0003.tiff,0.227,19.815,1.220,19.815,1.220,1.811,0.867,0.595,100,19.620,1.443,48.576,0.528,1.105,0.905,0.950
48,NTO-LC-800-4A-900-10H0003.tiff,0.016,23.241,1.024,23.241,1.024,0.454,0.964,0.160,100,23.187,0.957,124.992,0.144,1.053,0.949,0.915
49,NTO-LC-800-4A-900-10H0003.tiff,0.033,2.969,1.086,2.969,1.086,0.659,0.959,0.223,100,2.911,1.180,61.928,0.197,1.038,0.964,0.946
50,NTO-LC-800-4A-900-10H0003.tiff,0.047,13.380,1.156,13.380,1.156,0.876,0.772,0.330,100,13.338,0.984,96.843,0.210,1.484,0.674,0.901
51,NTO-LC-800-4A-900-10H0003.tiff,0.042,20.462,1.124,20.462,1.124,0.749,0.932,0.253,100,20.341,1.167,21.251,0.223,1.061,0.942,0.933
52,NTO-LC-800-4A-900-10H0003.tiff,0.009,15.656,1.086,15.656,1.086,0.335,1.000,0.124,100,15.620,1.036,122.005,0.105,1.030,0.971,0.920
53,NTO-LC-800-4A-900-10H0003.tiff,0.007,17.474,1.108,17.474,1.108,0.283,1.000,0.113,100,17.430,1.141,35.538,0.092,1.193,0.838,0.907
54,NTO-LC-800-4A-900-10H0003.tiff,0.018,4.588,1.171,4.588,1.171,0.491,0.932,0.172,100,4.564,1.089,98.746,0.144,1.120,0.893,0.908
55,NTO-LC-800-4A-900-10H0003.tiff,0.025,23.455,1.201,23.455,1.201,0.588,0.911,0.207,100,23.397,1.115,124.695,0.170,1.148,0.871,0.910
56,NTO-LC-800-4A-900-10H0003.tiff,0.283,9.247,1.455,9.247,1.455,2.771,0.463,0.668,100,8.984,1.246,133.409,0.620,1.022,0.978,0.887
57,NTO-LC-800-4A-900-10H0003.tiff,0.044,14.263,1.269,14.263,1.269,0.789,0.878,0.274,100,14.243,1.141,106.699,0.229,1.213,0.825,0.913
58,NTO-LC-800-4A-900-10H0003.tiff,0.145,25.745,1.342,25.745,1.342,1.461,0.854,0.512,100,25.561,1.167,140.194,0.390,1.354,0.739,0.945
59,NTO-LC-800-4A-900-10H0003.tiff,0.310,11.351,1.474,11.351,1.474,2.273,0.755,0.787,100,11.016,1.652,29.982,0.514,1.538,0.650,0.935
60,NTO-LC-800-4A-900-10H0003.tiff,0.008,18.648,1.249,18.648,1.249,0.320,1.000,0.117,100,18.597,1.220,153.435,0.105,1.073,0.932,0.889
61,NTO-LC-800-4A-900-10H0003.tiff,0.037,1.994,1.338,1.994,1.338,0.738,0.857,0.249,100,1.875,1.298,161.565,0.210,1.199,0.834,0.913
62,NTO-LC-800-4A-900-10H0003.tiff,0.058,15.070,1.352,15.070,1.352,0.899,0.910,0.299,100,14.951,1.430,37.875,0.262,1.052,0.950,0.952
63,NTO-LC-800-4A-900-10H0003.tiff,0.033,13.944,1.385,13.944,1.385,0.826,0.601,0.334,100,13.797,1.272,138.180,0.161,2.257,0.443,0.828
64,NTO-LC-800-4A-900-10H0003.tiff,0.041,19.099,1.405,19.099,1.405,0.885,0.662,0.341,100,19.003,1.272,112.620,0.192,1.871,0.535,0.839
65,NTO-LC-800-4A-900-10H0003.tiff,0.007,24.307,1.326,24.307,1.326,0.309,0.951,0.124,100,24.275,1.272,122.005,0.087,1.490,0.671,0.894
66,NTO-LC-800-4A-900-10H0003.tiff,0.103,0.398,1.501,0.398,1.501,1.220,0.872,0.412,100,0.223,1.613,30.651,0.334,1.121,0.892,0.944
67,NTO-LC-800-4A-900-10H0003.tiff,0.103,18.332,1.531,18.332,1.531,1.195,0.909,0.395,100,18.138,1.587,21.448,0.352,1.110,0.901,0.943
68,NTO-LC-800-4A-900-10H0003.tiff,0.174,20.782,1.649,20.782,1.649,1.575,0.879,0.552,100,20.669,1.390,118.393,0.436,1.190,0.840,0.951
69,NTO-LC-800-4A-900-10H0003.tiff,0.002,1.136,1.425,1.136,1.425,0.175,0.780,0.076,100,1.115,1.390,120.964,0.046,1.797,0.556,0.786
70,NTO-LC-800-4A-900-10H0003.tiff,0.014,17.083,1.460,17.083,1.460,0.459,0.863,0.160,100,17.036,1.521,55.008,0.131,1.061,0.943,0.898
71,NTO-LC-800-4A-900-10H0003.tiff,0.003,1.227,1.448,1.227,1.448,0.212,0.820,0.076,100,1.193,1.430,149.036,0.065,1.139,0.878,0.791
72,NTO-LC-800-4A-900-10H0003.tiff,0.047,5.371,1.559,5.371,1.559,0.797,0.939,0.266,100,5.285,1.456,122.905,0.246,1.042,0.960,0.939
73,NTO-LC-800-4A-900-10H0003.tiff,0.051,13.242,1.567,13.242,1.567,1.222,0.427,0.341,100,13.167,1.430,112.620,0.274,1.464,0.683,0.742
74,NTO-LC-800-4A-900-10H0003.tiff,0.051,5.747,1.586,5.747,1.586,0.834,0.917,0.291,100,5.626,1.666,35.838,0.240,1.220,0.820,0.931
75,NTO-LC-800-4A-900-10H0003.tiff,0.002,6.062,1.482,6.062,1.482,0.164,0.967,0.074,100,6.033,1.456,135.000,0.050,1.481,0.675,0.857
76,NTO-LC-800-4A-900-10H0003.tiff,0.019,1.585,1.610,1.584,1.611,0.669,0.546,0.217,98.230,1.482,1.639,25.017,0.164,1.268,0.789,0.751
77,NTO-LC-800-4A-900-10H0003.tiff,0.038,1.233,1.694,1.233,1.694,0.816,0.715,0.284,100,1.115,1.613,146.310,0.203,1.440,0.694,0.854
78,NTO-LC-800-4A-900-10H0003.tiff,0.047,8.532,1.706,8.532,1.706,0.820,0.877,0.281,100,8.433,1.600,127.405,0.228,1.205,0.830,0.927
79,NTO-LC-800-4A-900-10H0003.tiff,0.052,17.846,1.707,17.846,1.707,0.831,0.955,0.288,100,17.784,1.836,59.931,0.249,1.112,0.899,0.950
80,NTO-LC-800-4A-900-10H0003.tiff,0.078,6.676,1.723,6.676,1.723,1.163,0.726,0.444,100,6.466,1.600,145.840,0.266,1.855,0.539,0.905
81,NTO-LC-800-4A-900-10H0003.tiff,0.022,10.127,1.743,10.127,1.743,0.544,0.951,0.191,100,10.098,1.652,105.945,0.157,1.101,0.908,0.919
