"avevoronoix","voronoicount","Labelfineshort"
0.749261911436743,48248,"900-5-28D0006.tiff"
0.740209173792338,39622,"900-5-35B0002.tiff"
0.711788127024956,36544,"900-5-35B0004.tiff"
0.806175329696068,36291,"900-5-35B0006.tiff"
0.84376601237972,35542,"900-5-35C0002.tiff"
0.808177724489502,34721,"900-5-35C0004.tiff"
0.851397214486244,33839,"900-5-35C0006.tiff"
0.799721293455946,35559,"900-5-35D0002.tiff"
0.785923023664207,36046,"900-5-35D0004.tiff"
0.873839117491918,35262,"900-5-35D0006.tiff"
0.721279630777709,29034,"900-5-40B0002.tiff"
0.736156010484058,30141,"900-5-40B0004.tiff"
0.777219206882502,31907,"900-5-40B0006.tiff"
0.773887224538477,28926,"900-5-40C0002.tiff"
0.677196435470114,30482,"900-5-40C0004.tiff"
0.737019385013995,26438,"900-5-40C0006.tiff"
0.733194798224491,27823,"900-5-40D0002.tiff"
0.778769125444318,28977,"900-5-40D0004.tiff"
0.751177439559651,27887,"900-5-40D0006.tiff"
0.773937688767063,27179,"900-5-50A0006.tiff"
0.759324645896386,22468,"900-5-50A0008.tiff"
0.725125735007496,24012,"900-5-50A0010.tiff"
0.639570400693526,21917,"900-5-50B0002.tiff"
0.676438328438662,16140,"900-5-50B0006.tiff"
0.462836311502495,30263,"900-5-50B0008.tiff"
1.44935718928306,44341,"900-5-5A0002.tiff"
1.58354592708333,40128,"900-5-5A0004.tiff"
1.73088216227611,37239,"900-5-5A0006.tiff"
1.58640117332533,38321,"900-5-5B0002.tiff"
1.77720912081932,36567,"900-5-5B0004.tiff"
1.96780874771357,34005,"900-5-5B0006.tiff"
0.63394686126547,106174,"LTO-10NiA_700_10_H20008.tiff"
0.999148093503286,68019,"LTO-10NiA_700_10_H20010.tiff"
1.02888108589542,69247,"LTO-10NiA_700_10_H20012.tiff"
0.836030247420101,63956,"LTO-10NiA_800_10_H20010.tiff"
0.855618056931154,64376,"LTO-10NiA_800_10_H20012.tiff"
1.01507896987398,58720,"LTO-10NiA_800_10_H20014.tiff"
1.39212000142848,32202,"LTO-24Ni-900-50-A0008.tiff"
1.31227140200395,32935,"LTO-24Ni-900-50-A0010.tiff"
1.2529357681037,34330,"LTO-24Ni-900-50-A0012.tiff"
1.04791259609049,36424,"LTO-24Ni_900_50_B0006.tiff"
1.04372819434161,40789,"LTO-24Ni_900_50_B0008.tiff"
1.4325101052236,29271,"LTO-24Ni_900_50_B0014.tiff"
1.41480426815642,30609,"LTO-24Ni_900_50_C0007.tiff"
1.24286552453961,34047,"LTO-24Ni_900_50_C0009.tiff"
1.20328133105876,36930,"LTO-24Ni_900_50_C0015.tiff"
0.900024372171967,52731,"LTO-24NiA_800_10_H20008.tiff"
0.867156375761355,48105,"LTO-24NiA_800_10_H20010.tiff"
0.845777417060491,55016,"LTO-24NiA_800_10_H20012.tiff"
0.576765701328232,91475,"LTO-24NiC_700_10_H20014.tiff"
0.664815123044498,88724,"LTO-24NiC_700_10_H20016.tiff"
1.10159790725364,38298,"LTO-28Ni-900-50-B0008.tiff"
1.08118691972091,36261,"LTO-28Ni-900-50-B0010.tiff"
1.10726179280125,35145,"LTO-28Ni-900-50-B0012.tiff"
0.548125027448697,99604,"LTO-28NiA_700_05_H20005.tiff"
0.726897750968246,87013,"LTO-28NiA_700_05_H20007.tiff"
0.588108323039722,93877,"LTO-28NiA_700_05_H20009.tiff"
0.520609286680655,63862,"LTO-28NiC_800_05_H20006.tiff"
0.587857435504729,64183,"LTO-28NiC_800_05_H20008.tiff"
0.560306150553726,63479,"LTO-28NiC_800_05_H20010.tiff"
1.00032644446282,24182,"LTO-35Ni-900-50-A0008.tiff"
1.00256802087783,27158,"LTO-35Ni-900-50-A0010.tiff"
1.15426442930709,21749,"LTO-35Ni-900-50-A0012.tiff"
1.03361189665653,25333,"LTO-35Ni_900_50_B0006.tiff"
1.05809303314938,26456,"LTO-35Ni_900_50_B0008.tiff"
0.93494846985962,29064,"LTO-35Ni_900_50_B0010.tiff"
1.73682794882729,17822,"LTO-35Ni0006.jpg"
1.68339059854662,18027,"LTO-35Ni0008.jpg"
1.5959772591072,17294,"LTO-35Ni0010.jpg"
0.514410979800499,88220,"LTO-35NiB_700_05_H20006.tiff"
0.558686178152005,85747,"LTO-35NiB_700_05_H20008.tiff"
0.541334601272534,88642,"LTO-35NiB_700_05_H20009.tiff"
0.561439328169597,48350,"LTO-35NiC_800_05_H20006.tiff"
0.553092028748968,50854,"LTO-35NiC_800_05_H20008.tiff"
0.543246932276123,51267,"LTO-35NiC_800_05_H20010.tiff"
0.879576861683831,47095,"LTO-40-7000006.jpg"
1.03491303772023,42285,"LTO-40-7000007.jpg"
0.959414804609218,43912,"LTO-40-7000008.jpg"
0.933307529385172,24332,"LTO-40-8000005.jpg"
0.993095768160504,26018,"LTO-40-8000007.jpg"
1.11485465219408,25865,"LTO-40-8000009.jpg"
1.26855849031102,32924,"LTO28Ni900-50-A0008.tiff"
1.08334232080755,35713,"LTO28Ni900-50-A0010.tiff"
1.1083083631629,37826,"LTO28Ni900-50-A0012.tiff"
