 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
991,WH40P,0.060,5.971,17.033,5.971,17.033,1.214,0.510,0.531,100,5.744,17.233,32.905,0.211,2.821,0.354,0.734
992,WH40P,0.003,18.177,17.259,18.177,17.259,0.148,1.000,0.074,100,18.151,17.233,135.000,0.052,1.000,1.000,1.000
993,WH40P,0.001,11.685,17.285,11.685,17.285,0.127,1.000,0.059,100,11.672,17.259,116.565,0.026,2.000,0.500,1.000
994,WH40P,0.017,25.914,17.378,25.914,17.378,0.581,0.615,0.238,100,25.889,17.259,96.340,0.105,2.261,0.442,0.787
995,WH40P,0.008,3.148,17.353,3.148,17.353,0.365,0.781,0.153,100,3.121,17.285,120.964,0.089,1.973,0.507,0.750
996,WH40P,0.149,24.885,17.762,24.885,17.762,2.033,0.454,0.791,100,24.839,17.338,95.711,0.361,2.553,0.392,0.671
997,WH40P,0.021,14.329,17.718,14.329,17.718,0.565,0.811,0.247,100,14.216,17.784,32.005,0.129,2.071,0.483,0.857
998,WH40P,0.012,17.886,17.968,17.886,17.968,0.402,0.911,0.166,100,17.862,17.889,108.435,0.105,1.716,0.583,0.829
999,WH40P,0.030,15.536,18.288,15.536,18.288,0.723,0.728,0.307,100,15.502,18.439,70.017,0.146,2.279,0.439,0.863
1000,WH40P,0.012,10.516,18.246,10.516,18.246,0.365,1.000,0.153,100,10.466,18.308,59.036,0.105,1.263,0.792,0.919
1001,WH40P,0.023,11.614,18.344,11.614,18.344,0.587,0.828,0.247,100,11.515,18.282,147.995,0.146,1.931,0.518,0.835
1002,WH40P,0.098,2.740,18.607,2.740,18.607,1.563,0.502,0.635,100,2.544,18.387,128.290,0.290,2.868,0.349,0.694
1003,WH40P,0.017,15.330,18.459,15.330,18.459,0.460,0.978,0.185,100,15.239,18.439,171.870,0.131,1.264,0.791,0.842
1004,WH40P,0.029,25.416,18.526,25.416,18.526,0.633,0.906,0.262,100,25.311,18.597,36.870,0.184,1.450,0.690,0.894
1005,WH40P,0.008,12.298,18.503,12.298,18.503,0.290,1.000,0.131,100,12.249,18.544,36.870,0.079,1.372,0.729,0.957
1006,WH40P,0.032,1.123,18.712,1.123,18.712,0.797,0.640,0.364,100,1.023,18.859,59.744,0.141,2.999,0.333,0.847
1007,WH40P,0.001,3.056,18.597,3.056,18.597,0.127,1.000,0.059,100,3.043,18.570,116.565,0.026,2.000,0.500,1.000
1008,WH40P,0.012,6.624,18.686,6.624,18.686,0.386,1.000,0.153,100,6.584,18.623,120.964,0.129,1.257,0.795,0.857
1009,WH40P,0.046,11.023,18.858,11.023,18.858,0.908,0.702,0.376,100,10.859,18.807,167.905,0.184,2.254,0.444,0.832
