X	Y	Dlc	r²	Standard-Error	y-intercept	Local-Fractal-Dimension	r²	Standard-Error	y-intercept
20.0	5.0	0.8814	0.9344	0.2274	6.4483	0.8814	0.9344	0.2274	6.4483	
20.0	6.0	0.8714	0.9392	0.2158	6.3773	0.8714	0.9392	0.2158	6.3773	
20.0	154.0	1.1498	0.9763	0.1744	7.8915	1.1498	0.9763	0.1744	7.8915	
20.0	404.0	1.0855	0.99	0.1064	7.7258	1.0855	0.99	0.1064	7.7258	
20.0	405.0	1.0576	0.9809	0.1435	7.6093	1.0576	0.9809	0.1435	7.6093	
20.0	500.0	1.076	0.9826	0.1396	7.5639	1.076	0.9826	0.1396	7.5639	
20.0	537.0	1.0935	0.9836	0.1376	7.8023	1.0935	0.9836	0.1376	7.8023	
20.0	538.0	1.101	0.9736	0.1766	7.942	1.101	0.9736	0.1766	7.942	
20.0	539.0	1.1485	0.9877	0.1249	8.1514	1.1485	0.9877	0.1249	8.1514	
20.0	558.0	1.1903	0.9116	0.3608	7.892	1.1903	0.9116	0.3608	7.892	
20.0	725.0	1.2006	0.977	0.1793	8.2126	1.2006	0.977	0.1793	8.2126	
21.0	154.0	1.1133	0.9735	0.1787	7.6649	1.1133	0.9735	0.1787	7.6649	
21.0	404.0	1.0681	0.981	0.1446	7.6859	1.0681	0.981	0.1446	7.6859	
21.0	500.0	1.1149	0.9831	0.1423	7.806	1.1149	0.9831	0.1423	7.806	
21.0	501.0	1.1149	0.9831	0.1423	7.806	1.1149	0.9831	0.1423	7.806	
21.0	539.0	1.1413	0.9804	0.1573	8.1932	1.1413	0.9804	0.1573	8.1932	
21.0	540.0	1.1592	0.9897	0.1149	8.2679	1.1592	0.9897	0.1149	8.2679	
21.0	558.0	1.193	0.9716	0.1987	8.1659	1.193	0.9716	0.1987	8.1659	
21.0	725.0	1.2337	0.9827	0.1591	8.4416	1.2337	0.9827	0.1591	8.4416	
22.0	154.0	1.0727	0.9845	0.1309	7.4226	1.0727	0.9845	0.1309	7.4226	
22.0	403.0	1.11	0.9902	0.1073	7.8923	1.11	0.9902	0.1073	7.8923	
22.0	404.0	1.11	0.9902	0.1073	7.8923	1.11	0.9902	0.1073	7.8923	
22.0	501.0	1.1489	0.9864	0.1312	8.0278	1.1489	0.9864	0.1312	8.0278	
22.0	540.0	1.182	0.9887	0.1232	8.4393	1.182	0.9887	0.1232	8.4393	
22.0	541.0	1.1854	0.9919	0.1045	8.4418	1.1854	0.9919	0.1045	8.4418	
22.0	558.0	1.1799	0.9886	0.1235	8.267	1.1799	0.9886	0.1235	8.267	
22.0	725.0	1.2551	0.9893	0.127	8.6172	1.2551	0.9893	0.127	8.6172	
22.0	1016.0	0.949	0.9953	0.0632	6.6876	0.949	0.9953	0.0632	6.6876	
23.0	154.0	1.0287	0.9991	0.0297	7.1686	1.0287	0.9991	0.0297	7.1686	
23.0	253.0	1.0926	0.9962	0.0656	7.5642	1.0926	0.9962	0.0656	7.5642	
23.0	259.0	1.0591	0.9851	0.1269	7.4941	1.0591	0.9851	0.1269	7.4941	
23.0	260.0	1.0088	0.969	0.1755	7.091	1.0088	0.969	0.1755	7.091	
23.0	261.0	0.9996	0.9623	0.1926	6.7834	0.9996	0.9623	0.1926	6.7834	
23.0	403.0	1.1039	0.9874	0.1213	7.8875	1.1039	0.9874	0.1213	7.8875	
23.0	501.0	1.2064	0.99	0.1179	8.3364	1.2064	0.99	0.1179	8.3364	
23.0	541.0	1.2115	0.993	0.0987	8.6165	1.2115	0.993	0.0987	8.6165	
23.0	542.0	1.2072	0.9926	0.1014	8.5787	1.2072	0.9926	0.1014	8.5787	
23.0	557.0	1.1866	0.9803	0.1637	8.4166	1.1866	0.9803	0.1637	8.4166	
23.0	558.0	1.1784	0.9808	0.1606	8.3389	1.1784	0.9808	0.1606	8.3389	
23.0	725.0	1.2545	0.9953	0.0837	8.685	1.2545	0.9953	0.0837	8.685	
23.0	1016.0	0.9409	0.9817	0.1251	6.7594	0.9409	0.9817	0.1251	6.7594	
23.0	1017.0	0.9097	0.9492	0.2048	6.6673	0.9097	0.9492	0.2048	6.6673	
24.0	154.0	1.0329	0.9989	0.0331	7.2019	1.0329	0.9989	0.0331	7.2019	
24.0	253.0	1.0906	0.9957	0.0701	7.6784	1.0906	0.9957	0.0701	7.6784	
24.0	254.0	1.0795	0.9863	0.1237	7.724	1.0795	0.9863	0.1237	7.724	
24.0	257.0	1.132	0.9823	0.1477	8.034	1.132	0.9823	0.1477	8.034	
24.0	258.0	1.0955	0.9833	0.139	7.8203	1.0955	0.9833	0.139	7.8203	
24.0	259.0	1.0825	0.9844	0.1328	7.6338	1.0825	0.9844	0.1328	7.6338	
24.0	402.0	1.1353	0.9944	0.0829	8.0365	1.1353	0.9944	0.0829	8.0365	
24.0	403.0	1.1353	0.9944	0.0829	8.0365	1.1353	0.9944	0.0829	8.0365	
24.0	501.0	1.2258	0.9835	0.1543	8.469	1.2258	0.9835	0.1543	8.469	
24.0	542.0	1.235	0.9953	0.0829	8.7575	1.235	0.9953	0.0829	8.7575	
24.0	543.0	1.2311	0.9953	0.0826	8.7244	1.2311	0.9953	0.0826	8.7244	
24.0	557.0	1.1478	0.974	0.1826	8.2619	1.1478	0.974	0.1826	8.2619	
24.0	725.0	1.2269	0.9985	0.0469	8.6225	1.2269	0.9985	0.0469	8.6225	
24.0	1017.0	0.9368	0.9448	0.2204	6.8726	0.9368	0.9448	0.2204	6.8726	
24.0	1018.0	0.9314	0.928	0.2525	6.8689	0.9314	0.928	0.2525	6.8689	
25.0	154.0	1.0333	0.9983	0.0411	7.2186	1.0333	0.9983	0.0411	7.2186	
25.0	254.0	1.1119	0.985	0.1334	7.9695	1.1119	0.985	0.1334	7.9695	
25.0	255.0	1.1153	0.9726	0.1822	8.0467	1.1153	0.9726	0.1822	8.0467	
25.0	256.0	1.1547	0.9728	0.1878	8.2383	1.1547	0.9728	0.1878	8.2383	
25.0	257.0	1.1687	0.9824	0.1523	8.2718	1.1687	0.9824	0.1523	8.2718	
25.0	402.0	1.1211	0.9895	0.1126	7.9867	1.1211	0.9895	0.1126	7.9867	
