"modelid","ntree.int","mtry.int","nodesize.int","trainfrac","traindur","rf_rmse","train_adj_r2","test_adj_r2"
"PC-RF-229",141,10,7,0.5,0.0278661251068115,0.22,0.993,0.95
"PC-RF-230",203,4,9,0.7,0.0318520069122314,0.35,0.984,0.932
"PC-RF-231",165,12,9,0.5,0.0366301536560059,0.19,0.994,0.97
"PC-RF-232",122,6,1,0.7,0.0385489463806152,0.28,0.993,0.951
"PC-RF-233",251,5,4,0.3,0.0200681686401367,0.37,0.987,0.835
"PC-RF-234",278,5,6,0.7,0.0541880130767822,0.31,0.989,0.93
"PC-RF-235",66,12,6,0.4,0.01251220703125,0.22,0.994,0.968
"PC-RF-236",244,11,9,0.55,0.0606870651245117,0.16,0.996,0.983
"PC-RF-237",43,10,8,0.55,0.0101649761199951,0.2,0.994,0.957
"PC-RF-238",282,9,4,0.3,0.031048059463501,0.33,0.99,0.96
"PC-RF-239",168,4,8,0.55,0.0197699069976807,0.38,0.979,0.899
"PC-RF-240",296,10,2,0.55,0.0896899700164795,0.19,0.997,0.974
"PC-RF-241",254,7,1,0.5,0.0612039566040039,0.32,0.992,0.972
"PC-RF-242",300,4,1,0.4,0.0396289825439453,0.44,0.986,0.85
"PC-RF-243",231,6,2,0.6,0.0570981502532959,0.3,0.992,0.963
"PC-RF-244",288,12,5,0.7,0.113774061203003,0.14,0.998,0.985
"PC-RF-245",200,9,3,0.45,0.042151927947998,0.24,0.995,0.957
"PC-RF-246",60,9,9,0.45,0.011909008026123,0.26,0.989,0.947
"PC-RF-247",170,12,2,0.35,0.0351719856262207,0.23,0.995,0.975
"PC-RF-248",108,9,2,0.65,0.036963939666748,0.22,0.997,0.966
"PC-RF-249",114,4,7,0.4,0.00954699516296387,0.43,0.977,0.881
"PC-RF-250",128,9,8,0.35,0.0180490016937256,0.34,0.984,0.953
"PC-RF-251",277,4,2,0.4,0.0304670333862305,0.39,0.987,0.799
"PC-RF-252",201,6,3,0.4,0.0269539356231689,0.34,0.988,0.901
"PC-RF-253",195,7,5,0.3,0.0193839073181152,0.36,0.987,0.933
"PC-RF-254",267,8,3,0.7,0.0883901119232178,0.2,0.996,0.971
"PC-RF-255",179,7,2,0.55,0.0452051162719727,0.26,0.995,0.973
"PC-RF-256",157,12,6,0.5,0.0376489162445068,0.19,0.995,0.976
"PC-RF-257",294,5,1,0.5,0.0532898902893066,0.37,0.989,0.887
"PC-RF-258",98,7,6,0.7,0.0289449691772461,0.25,0.992,0.939
"PC-RF-259",23,5,4,0.45,0.00546002388000488,0.4,0.984,0.884
"PC-RF-260",176,9,1,0.45,0.0420629978179932,0.24,0.995,0.963
"PC-RF-261",79,12,5,0.45,0.0181729793548584,0.19,0.996,0.983
"PC-RF-262",278,12,7,0.5,0.0658340454101562,0.19,0.995,0.981
"PC-RF-263",143,9,6,0.5,0.0270299911499023,0.22,0.995,0.967
"PC-RF-264",135,11,4,0.5,0.0331430435180664,0.2,0.996,0.981
"PC-RF-265",133,9,6,0.65,0.0378608703613281,0.18,0.996,0.961
"PC-RF-266",37,12,7,0.3,0.00552201271057129,0.25,0.99,0.966
"PC-RF-267",141,12,6,0.4,0.0292239189147949,0.18,0.996,0.968
"PC-RF-268",214,12,1,0.6,0.0938551425933838,0.15,0.998,0.977
"PC-RF-269",230,7,6,0.6,0.0483500957489014,0.25,0.992,0.932
"PC-RF-270",209,4,6,0.45,0.0200250148773193,0.39,0.984,0.894
"PC-RF-271",290,11,9,0.5,0.057960033416748,0.17,0.996,0.969
"PC-RF-272",73,10,1,0.65,0.0297999382019043,0.22,0.995,0.966
"PC-RF-273",133,8,1,0.35,0.0218379497528076,0.27,0.994,0.924
"PC-RF-274",174,11,2,0.55,0.059765100479126,0.18,0.997,0.986
"PC-RF-275",267,5,2,0.35,0.0291860103607178,0.41,0.986,0.906
"PC-RF-276",240,5,2,0.65,0.0543689727783203,0.35,0.991,0.957
"PC-RF-277",98,6,7,0.55,0.0158519744873047,0.29,0.989,0.934
"PC-RF-278",60,7,5,0.4,0.00832605361938477,0.38,0.986,0.944
"PC-RF-279",297,6,8,0.3,0.0201208591461182,0.43,0.978,0.916
"PC-RF-280",86,6,6,0.4,0.00986504554748535,0.37,0.987,0.931
"PC-RF-281",99,11,8,0.4,0.0157449245452881,0.19,0.995,0.971
"PC-RF-282",28,11,6,0.5,0.00721096992492676,0.2,0.994,0.977
"PC-RF-283",278,7,6,0.45,0.0379688739776611,0.27,0.991,0.921
"PC-RF-284",96,6,1,0.7,0.0307660102844238,0.26,0.993,0.957
"PC-RF-285",134,6,6,0.45,0.0189950466156006,0.28,0.991,0.951
"PC-RF-286",227,12,4,0.5,0.0612409114837646,0.17,0.997,0.984
"PC-RF-287",60,6,8,0.6,0.0109319686889648,0.29,0.988,0.942
"PC-RF-288",101,6,2,0.45,0.0199778079986572,0.38,0.987,0.942
"PC-RF-289",127,6,7,0.7,0.026885986328125,0.27,0.99,0.954
"PC-RF-290",94,7,9,0.35,0.00895595550537109,0.37,0.98,0.933
"PC-RF-291",28,10,5,0.5,0.00704503059387207,0.27,0.992,0.967
"PC-RF-292",68,9,9,0.5,0.0123929977416992,0.22,0.992,0.957
"PC-RF-293",126,6,2,0.35,0.017690896987915,0.35,0.989,0.933
"PC-RF-294",38,5,6,0.45,0.00627779960632324,0.41,0.98,0.896
"PC-RF-295",64,10,1,0.4,0.0178689956665039,0.24,0.994,0.957
"PC-RF-296",38,9,7,0.6,0.0104320049285889,0.26,0.991,0.953
"PC-RF-297",78,4,2,0.5,0.0133709907531738,0.39,0.987,0.906
"PC-RF-298",187,4,9,0.6,0.0233528614044189,0.38,0.978,0.884
"PC-RF-299",208,7,5,0.6,0.0440819263458252,0.24,0.995,0.964
"PC-RF-300",45,12,8,0.55,0.0124680995941162,0.18,0.995,0.983
"PC-RF-301",86,7,7,0.5,0.0138490200042725,0.26,0.991,0.956
"PC-RF-302",80,5,1,0.35,0.0104591846466064,0.39,0.988,0.898
"PC-RF-303",16,7,4,0.45,0.00368809700012207,0.44,0.972,0.862
"PC-RF-304",112,8,6,0.6,0.0257830619812012,0.24,0.994,0.972
"PC-RF-305",159,10,5,0.65,0.0506789684295654,0.21,0.996,0.975
"PC-RF-306",262,4,8,0.7,0.0448939800262451,0.38,0.984,0.951
"PC-RF-307",64,11,5,0.7,0.0297479629516602,0.15,0.997,0.989
"PC-RF-308",111,6,1,0.5,0.0218920707702637,0.31,0.993,0.932
"PC-RF-309",215,5,1,0.3,0.0209472179412842,0.46,0.986,0.834
"PC-RF-310",287,10,3,0.3,0.0374040603637695,0.31,0.992,0.946
"PC-RF-311",222,10,5,0.45,0.0466949939727783,0.21,0.995,0.965
"PC-RF-312",16,12,6,0.4,0.00456690788269043,0.23,0.992,0.975
"PC-RF-313",244,6,3,0.45,0.0359089374542236,0.32,0.991,0.923
"PC-RF-314",82,5,6,0.4,0.00831699371337891,0.41,0.982,0.849
"PC-RF-315",178,5,7,0.55,0.0254240036010742,0.37,0.985,0.951
"PC-RF-316",26,5,6,0.6,0.00495290756225586,0.39,0.982,0.897
"PC-RF-317",171,11,8,0.65,0.048943042755127,0.17,0.996,0.984
"PC-RF-318",48,10,1,0.6,0.0178499221801758,0.24,0.995,0.959
"PC-RF-319",295,7,8,0.4,0.0316231250762939,0.28,0.99,0.941
"PC-RF-320",214,6,2,0.5,0.0380289554595947,0.31,0.992,0.934
"PC-RF-321",257,6,5,0.45,0.0329771041870117,0.32,0.989,0.917
"PC-RF-322",77,9,5,0.5,0.0155730247497559,0.23,0.993,0.96
"PC-RF-323",76,10,2,0.5,0.0208940505981445,0.23,0.995,0.959
"PC-RF-324",96,7,6,0.5,0.0164330005645752,0.27,0.992,0.944
"PC-RF-325",112,10,1,0.5,0.0331778526306152,0.2,0.996,0.978
"PC-RF-326",134,12,3,0.7,0.0636670589447021,0.15,0.997,0.982
"PC-RF-327",26,11,7,0.35,0.0046699047088623,0.23,0.992,0.967
"PC-RF-328",199,6,8,0.6,0.0338761806488037,0.28,0.991,0.943
"PC-RF-329",142,8,6,0.35,0.016852855682373,0.32,0.989,0.958
"PC-RF-330",218,4,8,0.5,0.0218989849090576,0.43,0.978,0.886
"PC-RF-331",231,8,1,0.35,0.0364751815795898,0.27,0.994,0.905
"PC-RF-332",23,12,1,0.65,0.0113818645477295,0.22,0.994,0.977
"PC-RF-333",128,7,8,0.55,0.0213990211486816,0.3,0.987,0.941
"PC-RF-334",192,7,1,0.6,0.0535988807678223,0.27,0.996,0.956
"PC-RF-335",162,5,7,0.55,0.0219600200653076,0.35,0.984,0.902
"PC-RF-336",78,7,9,0.7,0.0181179046630859,0.27,0.989,0.968
"PC-RF-337",67,7,1,0.6,0.0384640693664551,0.29,0.993,0.947
"PC-RF-338",42,7,9,0.7,0.0113639831542969,0.24,0.992,0.961
"PC-RF-339",56,5,8,0.45,0.00624608993530273,0.37,0.98,0.919
"PC-RF-340",62,12,2,0.35,0.0122718811035156,0.25,0.993,0.967
"PC-RF-341",117,11,8,0.35,0.0155971050262451,0.25,0.99,0.96
"PC-RF-342",20,10,4,0.65,0.00816202163696289,0.25,0.992,0.946
"PC-RF-343",97,11,1,0.7,0.0514318943023682,0.15,0.998,0.982
"PC-RF-344",188,9,7,0.55,0.0432479381561279,0.23,0.994,0.97
